url,schema_type,types_before_a3a8187,types_after,verdict,note
/states/illinois-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/illinois-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/,CollectionPage,"Article,BreadcrumbList,ItemList","CollectionPage,BreadcrumbList,ItemList",OK,tipo acorde al proposito real de la pagina
/states/,BreadcrumbList,"Article,BreadcrumbList,ItemList","CollectionPage,BreadcrumbList,ItemList",OK,coincide con breadcrumbs visibles
/states/,ItemList,"Article,BreadcrumbList,ItemList","CollectionPage,BreadcrumbList,ItemList",OK,lista real de elementos enlazados en la pagina
/states/indiana-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/indiana-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/indiana-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/iowa-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/iowa-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/iowa-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/kansas-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/kansas-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/kansas-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/kentucky-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/kentucky-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/kentucky-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"5 preguntas, todas visibles en la pagina"
/states/louisiana-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/louisiana-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/louisiana-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"7 preguntas, todas visibles en la pagina"
/states/maine-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/maine-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/maine-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/maryland-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/maryland-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/maryland-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/massachusetts-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/massachusetts-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/massachusetts-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/michigan-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/michigan-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/minnesota-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/minnesota-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/minnesota-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"5 preguntas, todas visibles en la pagina"
/states/mississippi-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/mississippi-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/mississippi-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/missouri-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/missouri-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/missouri-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"5 preguntas, todas visibles en la pagina"
/states/montana-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/montana-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/montana-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/nebraska-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/nebraska-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/nebraska-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/nevada-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/nevada-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/nevada-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/new-hampshire-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/new-hampshire-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/new-hampshire-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/new-jersey-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/new-jersey-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/new-jersey-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/new-mexico-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/new-mexico-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/new-mexico-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/new-york-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/new-york-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/new-york-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/north-carolina-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/north-carolina-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/north-carolina-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/north-dakota-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/north-dakota-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/north-dakota-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/ohio-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/ohio-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/oklahoma-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/oklahoma-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/oklahoma-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/oregon-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/oregon-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/oregon-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/pennsylvania-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/pennsylvania-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/rhode-island-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/rhode-island-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/rhode-island-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/south-carolina-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/south-carolina-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/south-carolina-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/south-dakota-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/south-dakota-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/south-dakota-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"5 preguntas, todas visibles en la pagina"
/states/tennessee-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/tennessee-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/tennessee-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/texas-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/texas-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/states/utah-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/utah-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/utah-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/vermont-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/vermont-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/vermont-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/virginia-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/virginia-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/virginia-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/washington-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/washington-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/washington-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/west-virginia-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/west-virginia-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/west-virginia-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/wisconsin-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/wisconsin-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/wisconsin-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/states/wyoming-lawyer-costs,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/states/wyoming-lawyer-costs,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/states/wyoming-lawyer-costs,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/terms,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/terms,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
