url,element,before,after,reason,metric_to_watch
/states/texas-lawyer-costs,title,"Texas Lawyer Costs 2026: Rates, Retainers & Court Fees","Texas Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/texas-lawyer-costs,meta description,"Texas lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to compare quotes. Planning estimates, not quotes.","Texas lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to compare quotes before hiring. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/utah-lawyer-costs,title,"Utah Lawyer Costs 2026: Rates, Retainers & Court Fees","Utah Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/utah-lawyer-costs,meta description,"Utah lawyer costs in 2026: how hourly, flat-fee and contingency billing work, plus court filing fees checked against the Utah State Courts. Planning estimates, not.","Utah lawyer costs 2026: hourly, flat-fee and contingency billing, plus court filing fees checked against the Utah State Courts. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/vermont-lawyer-costs,title,"Vermont Lawyer Costs 2026: Rates, Retainers & Court Fees","Vermont Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/vermont-lawyer-costs,meta description,"Vermont lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Vermont Bar Association..","Vermont lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Vermont Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/virginia-lawyer-costs,title,"Virginia Lawyer Costs 2026: Rates, Retainers & Court Fees","Virginia Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/virginia-lawyer-costs,meta description,"Virginia lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Virginia State Bar. Planning.","Virginia lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Virginia State Bar.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/washington-lawyer-costs,title,"Washington Lawyer Costs 2026: Rates, Retainers & Court Fees","Washington Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/washington-lawyer-costs,meta description,"Washington lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Washington State Bar.","Washington lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Washington State Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/west-virginia-lawyer-costs,title,"West Virginia Lawyer Costs 2026: Rates, Retainers & Court Fees","West Virginia Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/west-virginia-lawyer-costs,meta description,"West Virginia lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with West Virginia State Bar..","West Virginia lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with West Virginia State Bar.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/wisconsin-lawyer-costs,title,"Wisconsin Lawyer Costs 2026: Rates, Retainers & Court Fees","Wisconsin Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/wisconsin-lawyer-costs,meta description,"Wisconsin lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to compare quotes. Planning estimates, not quotes.","Wisconsin lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to compare quotes before hiring.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/wyoming-lawyer-costs,title,"Wyoming Lawyer Costs 2026: Rates, Retainers & Court Fees","Wyoming Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/wyoming-lawyer-costs,meta description,"Wyoming lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Wyoming State Bar. Planning.","Wyoming lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Wyoming State Bar.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
